"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","INSPEC Controlled Terms","INSPEC Non-Controlled Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","License",Online Date,Issue Date,"Meeting Date","Publisher",Document Identifier
"Design of Agent-based Collaborative Design Platform for Intelligent CAD","Z. Zhou; X. Hu; X. Cui","School of Information Engineering, Wuhan University of Technology, Wuhan, China; School of Information Engineering, Wuhan University of Technology, Wuhan, China; School of Information Engineering, Wuhan University of Technology, Wuhan, China","2008 15th International Conference on Mechatronics and Machine Vision in Practice","13 Jan 2009","2008","","","208","211","Intelligent computer aided design (ICAD) is an important direction to the development of CAD. The multi-agent technology is applied to the traditional CAD. An agent-based collaborative design platform for Intelligent CAD(Co-Cad platform for short) is designed in this paper. It uses the JADE(Java agent development framework) as developing agent platform and adopts Jess as the rule engine of the expert system. Agents can communicate and collaborate by means of JADE platform. Adopting the expert system, the platform can help designers to reason and make decisions. Multimedia technology is also integrated into Co-Cad platform, communication and identity authentication among collaborative designers from different areas are more convenient. Finally, the process of collaborative design using Co-Cad platform is demonstrated.","","978-1-4244-3779-5","10.1109/MMVIP.2008.4749534","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4749534","Agent;Intelligent CAD;Collaborative Design;JADE;Jess","Collaboration;Intelligent agent;Design automation;Artificial intelligence;Expert systems;Collaborative work;Collaborative tools;Collaborative software;Machine intelligence;Process design","expert systems;groupware;intelligent design assistants;Java;message authentication;multi-agent systems;multimedia communication","agent-based collaborative design platform;intelligent CAD;intelligent computer aided design;multiagent technology;co-Cad platform;Java agent development framework;developing agent platform;rule engine;expert system;JADE platform;multimedia technology;identity authentication","","1","","9","","13 Jan 2009","","","IEEE","IEEE Conferences"
"A Framework for Knowledge Reuse Based on Ontology in Collaborative Design","J. Hou; C. Su; Y. Su; W. Wang","School of Mechanical Engineering & Automation, Northeastern University, Shenyang, Liaoning, China; School of Mechanical Engineering & Automation, Northeastern University, Shenyang, Liaoning, China; School of Mechanical Engineering & Automation, Northeastern University, Shenyang, Liaoning, China; School of Mechanical Engineering & Automation, Northeastern University, Shenyang, Liaoning, China","2008 First International Conference on Intelligent Networks and Intelligent Systems","21 Nov 2008","2008","","","737","740","With the development of the increasing requirement of the market, enterprise is facing pressures to increase the quality of their products. To have shorter lead times and reduced costs, there needs a method towards globalization resulting in complex supply chains and the needs to manage teams. Collaborative design is a new style to meet the requirement. In collaborative design, knowledge needs to be exchanged and accessed efficiently by teams. Designers wish to reuse design knowledge to adapt past solutions and apply it to current problems. A methodology is present for knowledge management of collaborative design. Firstly, the conception of the collaborative design is introduced. A framework is introduced for the knowledge requirement and reuse. Then the knowledge expression based on ontology is introduced. The knowledge capture is established for knowledge reuse. At last, the integration of knowledge requirement and knowledge reuse is constructed with a component, which includes the knowledge capture, knowledge requirement and knowledge reuse. The knowledge can be reused for collaborative design.","","978-0-7695-3391-9","10.1109/ICINIS.2008.162","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4683330","knowledge management;collaborative design;reuse;ontology","Ontologies;Collaboration;Process design;Collaborative work;Knowledge management;Design automation;Assembly systems;Design methodology;Computer aided manufacturing;Intelligent networks","globalisation;groupware;knowledge acquisition;knowledge management;ontologies (artificial intelligence);supply chains","knowledge reuse;ontology;collaborative design;globalization;supply chains;knowledge management;knowledge capture;global market","","1","","13","IEEE","21 Nov 2008","","","IEEE","IEEE Conferences"
"A Methodology of Knowledge Management Based on Ontology in Collaborative Design","J. Hou; C. Su; Y. Su; W. Wang","School of Mechanical Engineering & Automation, Northeastern University, Shenyang, China; School of Mechanical Engineering & Automation, Northeastern University, Shenyang, China; School of Mechanical Engineering & Automation, Northeastern University, Shenyang, China; Northeastern University, Shenyang, Liaoning, CN","2008 Second International Symposium on Intelligent Information Technology Application","6 Jan 2009","2008","2","","409","413","To have shorter development times and reduced costs, enterprise need a method towards global market for product design. Collaborative design is a method to meet the requirement. In collaborative design, knowledge is exchanged and accessed efficiently through the teams. How to reuse the knowledge of experts is a problem. A methodology for knowledge management in collaborative design is proposed. Firstly, the concepts of the collaborative design and knowledge management are introduced. Secondly, the knowledge expression based on ontology is introduced. UML model for knowledge capture is established to find suitable knowledge. The knowledge capture formalization is established for the knowledge reuse. At last, the integration framework of knowledge requirement and knowledge reuse is constructed with a component, which includes the knowledge capture, knowledge requirement and knowledge reuse. The knowledge can be reused for collaborative design.","","978-0-7695-3497-8","10.1109/IITA.2008.503","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4739796","Knowledge Management;Ontology;UML model;Collaborative Design","Knowledge management;Ontologies;Collaboration;Process design;Collaborative work;Design automation;Design methodology;Assembly systems;Computer aided manufacturing;Globalization","CAD;cost reduction;groupware;knowledge management;ontologies (artificial intelligence);product design;Unified Modeling Language","knowledge management;collaborative design;ontology;cost reduction;product design;global market;UML model;integration framework","","","","14","IEEE","6 Jan 2009","","","IEEE","IEEE Conferences"
"Roadmap Development to Reduce Risk Associated with the Deployment of Artificial Intelligence Enabled Systems","B. D. Werner; B. J. Schumeg; T. M. Mills; D. M. Bott",U.S. Army Combat Capability Development Command Armaments Center; U.S. Army Combat Capability Development Command Armaments Center; U.S. Army Combat Capability Development Command Armaments Center; U.S. Army Combat Capability Development Command Armaments Center,"2023 Annual Reliability and Maintainability Symposium (RAMS)","5 Apr 2023","2023","","","1","6","SUMMARY & CONCLUSIONSThere has been great attention paid to the risks associated with the proliferation of Artificial Intelligence across both commercial and defense sectors. The National Security Commission on Artificial Intelligence (NSCAI) report [1] highlighted the need to ""establish justified confidence in AI systems,"" and further acknowledged that ""the United States will field safe and reliable AI…"" through the execution of existing procedures. This acknowledgment reinforces the prevailing thought from the U.S. Army Combat Capability Development Command Armaments Center (DEVCOM AC) that there are robust processes in place to mitigate risks, such as the Army Materiel Release (MR) process, but the key is how to tailor them to ensure continued application.The Materiel Release process, which ensure systems are safe, suitable, and supportable, as written may be a challenging process to adhere to by AI-enabled projects. There are facets of the AI technology that currently make it difficult to proceed through the process. The authors spent years engaged with MR stakeholders, board members, coordinator, and chair to identify the prevailing concerns, risks, and proposed mitigations, which eventually formed into a roadmap to properly and thoroughly review an AI enabled system. The validated roadmap has helped reduce risks, educate stakeholders, identify gaps, and suggest future solutions to both the process and products to ensure safety, suitability, and supportability to the Warfighter and DoD mission.","2577-0993","978-1-6654-6053-8","10.1109/RAMS51473.2023.10088201","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10088201","Artificial Intelligence;Machine Learning;safe;certification;challenges;roadmap;Materiel Release;assurance;test","Random access memory;US Department of Defense;Safety;Stakeholders;Reliability;Artificial intelligence;National security","artificial intelligence;military computing;national security;risk analysis","AI systems;AI technology;AI-enabled projects;army materiel release process;artificial intelligence enabled systems;artificial intelligence report;commercial defense sectors;DEVCOM AC;national security commission;NSCAI;reliable AI;risk associated;roadmap Development;robust processes;safe AI;U.S. army combat capability development command armaments center;United States;validated roadmap","","","","12","USGov","5 Apr 2023","","","IEEE","IEEE Conferences"
"Ontology-based knowledge integration of collaborative design for aviation complex products","Y. -y. Wang; L. -k. Song; F. -l. Wang; H. -s. Ji; X. -m. Dai","Institute of Industrial Engineering, Nanchang Hong Kong University, Nanchang, China; Hongdu Aviation Industry Group Limited, Nanchang, China; Institute of Industrial Engineering, Nanchang Hong Kong University, Nanchang, China; China Aviation Industry Archives, Beijing, China; China Aviation Industry Archives, Beijing, China","2011 IEEE 18th International Conference on Industrial Engineering and Engineering Management","10 Oct 2011","2011","Part 3","","1894","1898","To solve the problem of knowledge integration difficulty and achieve design knowledge sharing and reuse for the designers, an ontology-based knowledge integration approach of collaborative design for aviation complex products was proposed in this study. In order to realize the ontology integration, ontology modeling of product collaborative design knowledge was conducted firstly based on analysis of composition of collaborative design knowledge. On this basis, an ontology-based knowledge integration model of collaborative design for aviation complex products was constructed. The model transformed the problems of design knowledge integration into knowledge ontology integration problems, and through the establishment of global ontology and local ontology to implement knowledge integration between heterogeneous systems. Finally, a specific application was presented to illustrate the feasibility and validity of the knowledge integration method.","","978-1-61284-449-7","10.1109/ICIEEM.2011.6035537","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6035537","Aviation complex products;knowledge integration;ontology;ontology mapping;product collaborative design","Ontologies;Collaboration;Materials;Semantics;Merging;Product design","aerospace industry;knowledge management;ontologies (artificial intelligence);product design","aviation complex products;knowledge sharing;ontology integration;ontology modeling;product collaborative design knowledge;ontology-based knowledge integration model","","3","","11","IEEE","10 Oct 2011","","","IEEE","IEEE Conferences"
"Modeling and planning of design process based on improved interpretative structural model in collaborative design","G. -j. Duan; Y. Wang","School of Mechanical Engineering & Automation, Beihang University, BUAA, Beijing, China; School of Mechanical Engineering & Automation, Beihang University, BUAA, Beijing, China","Proceedings of the 2012 IEEE 16th International Conference on Computer Supported Cooperative Work in Design (CSCWD)","21 Jun 2012","2012","","","805","810","Focusing on strong information dependencies among tasks in collaborative design, the concept of hierarchy weighted directed graph was raised for design process modeling, and the dependency propagation algorithms were defined in the condition of propagation attenuation. Then interpretative structure model in social and economic field was introduced and improved with matrix algorithm and tearing algorithm to execute process planning. In the end a prototype tool was developed with Matlab GUI, and an example of plane assembling fixture process planning was provided to validate the effectiveness of this method.","","978-1-4673-1212-7","10.1109/CSCWD.2012.6221913","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6221913","collaborative design;hierarchy weighted directed graph;process planning;improved interpretative structure model","Algorithm design and analysis;Process control;Silicon;Artificial intelligence;Gold","CAD;directed graphs;graphical user interfaces;groupware;matrix algebra;process planning;production engineering computing;prototypes;socio-economic effects","information dependencies;collaborative design;hierarchy weighted directed graph;design process modeling;dependency propagation algorithms;propagation attenuation;interpretative structure model;social field;economic field;matrix algorithm;tearing algorithm;process planning;prototype tool;Matlab GUI;plane assembling fixture process planning","","","","24","IEEE","21 Jun 2012","","","IEEE","IEEE Conferences"
"Knowledge management in collaborative design","Junming Hou; Chong Su; Wanshan Wang","School of Mechanical Engineering & Automation, Northeastern University, Shenyang, China; School of Mechanical Engineering & Automation, Northeastern University, Shenyang, China; School of Mechanical Engineering & Automation, Northeastern University, Shenyang, China","2008 IEEE International Conference on Service Operations and Logistics, and Informatics","25 Nov 2008","2008","1","","848","852","To enhance the product development ability of enterprise, collaborative design is applied to new product development. Knowledge management among designers is an important problem for collaborative design. A computerized knowledge management system for collaborative product development is present to solve the problem. A framework of knowledge management based on ontology is present. The collaborative knowledge is introduced to assist to acknowledge the process of collaborative design. Knowledge based on ontology is constructed, which is the critical part of system. It can solve the problem of the knowledge sharing and knowledge application. At last, the framework of knowledge management system is constructed, which integrate the knowledge management with collaborative design process. The framework can realize the knowledge capture and reuse to enhance the efficiency of design.","","978-1-4244-2012-4","10.1109/SOLI.2008.4686517","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4686517","collaborative design;knowledge management;integration;framework","Collaboration;Knowledge management;Ontologies;Knowledge based systems;Product development;Knowledge engineering;Synchronization","CAD/CAM;computer aided engineering;computer aided production planning;groupware;knowledge management;ontologies (artificial intelligence);product design;product development","collaborative design;new product development;computerized knowledge management system;collaborative product development;ontology;knowledge sharing;knowledge capture;knowledge reuse","","","","17","IEEE","25 Nov 2008","","","IEEE","IEEE Conferences"
"Knowledge Management in Collaborative Design for Manufacture","J. Hou; C. Su; Y. Su; W. Wang","School of Mechanical Engineering & Automation, Northeastern University, Shenyang, China; School of Mechanical Engineering & Automation, Northeastern University, Shenyang, China; School of Mechanical Engineering & Automation, Northeastern University, Shenyang, China; School of Mechanical Engineering & Automation, Northeastern University, Shenyang, China","2008 International Conference on Computer Science and Software Engineering","22 Dec 2008","2008","3","","1031","1034","With the development of the increasing requirement for the market, the knowledge management is a main part of it. How to increase the ability of the enterprise is an important problem for the designers. A methodology for the knowledge management for the manufacture is proposed to meet the requirement. Firstly, the conception of the knowledge management is introduced, which can assist to acknowledge the knowledge. Then the collaborative design and the collaborative design process are constructed. Knowledge based on ontology and knowledge sharing is present for application. At last, a framework of knowledge management in collaborative design for manufacture is constructed, which is helpful for designers complete the task.","","978-0-7695-3336-0","10.1109/CSSE.2008.1395","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4722518","collaborative design;knowledge management;manufacture;framework","Knowledge management;Collaboration;Virtual manufacturing;Manufacturing processes;Computer aided manufacturing;Manufacturing automation;Process design;Product design;Environmental management;Computer science","design for manufacture;groupware;knowledge management;ontologies (artificial intelligence)","knowledge management;collaborative design;ontology;knowledge sharing;design for manufacture","","","","13","IEEE","22 Dec 2008","","","IEEE","IEEE Conferences"
"Design Things and Design Thinking: Contemporary Participatory Design Challenges","E. Bjögvinsson; P. Ehn; P. Hillgren","Erling Björgvinsson is a researcher and teacher at Malmö University in interaction design. He has over ten years of experience working with collaborative and participatory design within the fields of culture and healthcare. His research area is in design methodology, specifically on collaborative and participatory design-lead research. He has published articles in, amongst others, CoDesign – International Journal of CoCreation in Design and The Arts and in The Proceedings of Participatory Design.; Pelle Ehn is a professor at the School of Arts and Communication at Malmö University in Sweeden. For more than 30 years, he has been engaged in research on design and participation, and has published widely on the subject. Major publications span from “Work-Oriented Design of Computer Artifacts” (1988) to the collaborative work Design Things: A. Telier (Cambridge, MA: MIT Press, 2011).; Per-Anders Hillgren is a researcher and teacher at Malmö University in interaction design. He has over ten years of experience working with collaborative and participatory design within the field of healthcare, urban development and social innovation. His research area is in design methodology, specifically on collaborative and participatory design-lead research. He has published articles in, amongst others, CoDesign – International Journal of CoCreation in Design and The Arts and in The Proceedings of Participatory Design.","Design Issues","19 May 2014","2012","28","3","101","116","","0747-9360","","10.1162/DESI_a_00165","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6791284","","","","","","4","","","","19 May 2014","","","MIT Press","MIT Press Journals"
"Use of Artificial Intelligence Smart Tools in Projects","A. Lokhande","School of Management, CMR University, Bangalore, India","2022 8th International Conference on Smart Structures and Systems (ICSSS)","1 Jun 2022","2022","","","1","6","In recent years, artificial intelligence (AI) has gotten a lot of press and attention. Learning and adapting through constant algorithmic interventions aid in the development of a firm grasp of the situation at hand, as well as the handling of more difficult challenges as they arise. Cognitive psychology and knowledge-based applications engineering are at the heart of AI. AI-assisted quicker computing approaches are being used to address complex difficulties. Simultaneously, new, and more complicated issues emerge, which are difficult for the human mind to understand and envision, and which are far from being solved. Dynamic developments in global technical, economic, political, and environmental settings provide insurmountable challenges to corporate executives and strategists. Projects and project management are used to carry out business plans and government welfare goals. Throughout the project's timeframe, project managers must cope with restrictions. Regardless of methodology, predictive or iterative, the existence of various stakeholders and managing their requirements creates a slew of issues for the project manager and team. This paper aims to explain the existing industrial procedures employed by project managers that utilize AI principles. The author's aim is to set out obstacles and realistic alternatives for next generation project managers to apply AI in managing stakeholder expectations, resolving dissent and conflicts, and assuring flawless project delivery.","","978-1-6654-9761-9","10.1109/ICSSS54381.2022.9782273","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9782273","Project management;Stakeholder management;Stakeholder engagement;Artificial intelligence;Project management analytics","Productivity;Presses;Decision making;Psychology;Project management;Machine learning;Natural language processing","artificial intelligence;decision making;government data processing;knowledge based systems;learning (artificial intelligence);organisational aspects;project management;psychology;public administration","artificial intelligence smart tools;press;constant algorithmic interventions aid;firm grasp;knowledge-based applications engineering;AI-assisted quicker computing approaches;complicated issues;dynamic developments;global technical settings;economic settings;political, settings;environmental settings;insurmountable challenges;project management;project manager;AI principles;generation project managers;flawless project delivery","","","","19","IEEE","1 Jun 2022","","","IEEE","IEEE Conferences"
